iter	Passed	Remaining
0	0	39
1	0	37
2	1	35
3	1	34
4	1	34
5	2	34
6	2	34
7	2	33
8	3	33
9	3	31
10	3	31
11	4	30
12	4	29
13	4	28
14	4	27
15	5	27
16	5	26
17	5	26
18	6	25
19	6	25
20	6	25
21	6	24
22	7	24
23	7	23
24	7	23
25	7	22
26	8	22
27	8	21
28	8	21
29	9	21
30	9	20
31	9	20
32	9	20
33	10	19
34	10	19
35	10	19
36	11	18
37	11	18
38	11	18
39	11	17
40	12	17
41	12	17
42	12	16
43	12	16
44	13	16
45	13	15
46	13	15
47	14	15
48	14	15
49	14	14
50	15	14
51	15	14
52	15	14
53	16	13
54	16	13
55	16	13
56	16	12
57	17	12
58	17	12
59	17	11
60	18	11
61	18	11
62	18	11
63	19	10
64	19	10
65	19	10
66	20	9
67	20	9
68	20	9
69	21	9
70	21	8
71	21	8
72	22	8
73	22	7
74	22	7
75	23	7
76	23	7
77	24	6
78	24	6
79	24	6
80	24	5
81	25	5
82	25	5
83	25	4
84	26	4
85	26	4
86	26	4
87	27	3
88	27	3
89	27	3
90	28	2
91	28	2
92	29	2
93	29	1
94	29	1
95	29	1
96	30	0
97	30	0
98	31	0
99	31	0
